Clusters,Pangenome Class,COG,Description,Enzyme Class,KEGG Orthology,KEGG Pathway,KEGG Reaction,Resistance Product,Resistance,Metabolism
cluster_106,core,MU,This protein specifically catalyzes the removal of signal peptides from prolipoproteins,Signal peptidase II[3.4.23.36],signal peptidase II[K03101],Protein export[map03060],-,-,-,-
cluster_107,core,S,Mycothiol maleylpyruvate isomerase N-terminal domain,Maleylpyruvate isomerase[5.2.1.4],maleylpyruvate isomerase[K16163],Tyrosine metabolism[map00350]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120],Maleylpyruvate <=> 3-Fumarylpyruvate[R03868],-,-,-
cluster_108,core,H,Belongs to the enoyl-CoA hydratase isomerase family. MenB subfamily,"1,4-dihydroxy-2-naphthoyl-CoA synthase[4.1.3.36]",naphthoate synthase[K01661],Ubiquinone and other terpenoid-quinone biosynthesis[map00130]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],"2-Succinylbenzoyl-CoA <=> 1,4-Dihydroxy-2-naphthoyl-CoA + H2O[R07263]",-,-,-
cluster_109,core,S,Rhomboid family,-,-,-,-,-,-,-
cluster_110,dispensable,S,"Involved in the import of queuosine (Q) precursors, required for Q precursor salvage",-,queuosine precursor transporter[K09125],-,-,-,-,-
cluster_111,core,S,Uncharacterised protein family (UPF0014),-,UDP-glucose/iron transport system permease protein[K02069],-,-,-,-,-
cluster_112,core,S,Modulates RecA activity,-,regulatory protein[K03565],-,-,-,-,-
cluster_113,core,K,Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes,-,transcriptional repressor NrdR[K07738],-,-,-,-,-
cluster_114,dispensable,S,Protein of unknown function (DUF4235),-,-,-,-,-,-,-
cluster_115,dispensable,E,glycine decarboxylation via glycine cleavage system,-,glycine cleavage system H protein[K02437],"Glycine, serine and threonine metabolism[map00260]; Glyoxylate and dicarboxylate metabolism[map00630]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Carbon metabolism[map01200]","Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+[R01221]",-,-,-
cluster_116,core,S,Virulence factor BrkB,-,membrane protein[K07058],-,-,-,-,-
cluster_117,core,E,"Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively",Adenosylhomocysteine nucleosidase[3.2.2.9],adenosylhomocysteine nucleosidase[K01243],Cysteine and methionine metabolism[map00270]; Metabolic pathways[map01100]; Biosynthesis of amino acids[map01230],S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine[R00194]; 5'-Methylthioadenosine + H2O <=> Adenine + 5-Methylthio-D-ribose[R01401],-,-,-
cluster_118,core,M,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,Non-specific serine/threonine protein kinase[2.7.11.1]; Peptidylprolyl isomerase[5.2.1.8],"peptidyl-prolyl cis-trans isomerase A (cyclophilin A)[K03767]; peptidyl-prolyl cis-trans isomerase B (cyclophilin B)[K03768]; serine/threonine protein kinase, bacterial[K08884]",Cationic antimicrobial peptide (CAMP) resistance[map01503],-,-,-,-
cluster_119,core,E,Aminotransferase class-V,Cysteine desulfurase[2.8.1.7],cysteine desulfurase[K04487],Thiamine metabolism[map00730]; Metabolic pathways[map01100]; Sulfur relay system[map04122],[Enzyme]-cysteine + L-Cysteine <=> [Enzyme]-S-sulfanylcysteine + L-Alanine[R07460]; L-Cysteine + [Protein]-L-cysteine <=> L-Alanine + [Protein]-S-sulfanyl-L-cysteine[R11528]; [Enzyme]-S-sulfanylcysteine + [Protein]-L-cysteine <=> [Enzyme]-cysteine + [Protein]-S-sulfanyl-L-cysteine[R11529],-,-,-
cluster_120,core,J,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln),Asparaginyl-tRNA synthase (glutamine-hydrolyzing)[6.3.5.6]; Glutaminyl-tRNA synthase (glutamine-hydrolyzing)[6.3.5.7],aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C[K02435],Aminoacyl-tRNA biosynthesis[map00970]; Metabolic pathways[map01100],Glutaminyl-tRNA + L-Glutamate + Orthophosphate + ADP <=> L-Glutamyl-tRNA(Gln) + L-Glutamine + ATP + H2O[R03905]; L-Asparaginyl-tRNA(Asn) + L-Glutamate + Orthophosphate + ADP <=> L-Aspartyl-tRNA(Asn) + L-Glutamine + ATP + H2O[R04212],-,-,-
cluster_121,core,E,Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP,Phosphoribosyl-AMP cyclohydrolase[3.5.4.19]; Phosphoribosyl-ATP diphosphatase[3.6.1.31],phosphoribosyl-AMP cyclohydrolase[K01496]; phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase[K11755],Histidine metabolism[map00340]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Biosynthesis of amino acids[map01230],1-(5-Phospho-D-ribosyl)-ATP + H2O <=> Phosphoribosyl-AMP + Diphosphate[R04035]; Phosphoribosyl-AMP + H2O <=> 5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide[R04037],-,-,-
cluster_122,core,E,"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR",-,imidazole glycerol-phosphate synthase subunit HisH[K02501],Histidine metabolism[map00340]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Biosynthesis of amino acids[map01230],N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide + L-Glutamine <=> D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + L-Glutamate[R04558],-,-,-
cluster_123,core,L,Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group,Crossover junction endodeoxyribonuclease[3.1.22.4],crossover junction endodeoxyribonuclease RuvC[K01159],Homologous recombination[map03440],-,-,-,-
cluster_124,core,M,Bacterial capsule synthesis protein PGA_cap,-,gamma-polyglutamate biosynthesis protein CapA[K07282],-,-,-,-,-
cluster_125,core,J,Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine,L-threonylcarbamoyladenylate synthase[2.7.7.87],L-threonylcarbamoyladenylate synthase[K07566],-,L-Threonine + ATP + HCO3- + H+ <=> L-Threonylcarbamoyladenylate + Diphosphate + H2O[R10463],-,-,-
cluster_126,core,L,A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD,Exodeoxyribonuclease V[3.1.11.5],exodeoxyribonuclease V alpha subunit[K03581],Homologous recombination[map03440],-,-,-,-
cluster_127,core,-,-,-,-,-,-,-,-,-
cluster_128,core,P,ATPases associated with a variety of cellular activities,-,biotin transport system ATP-binding protein[K16784]; energy-coupling factor transport system ATP-binding protein[K16786]; energy-coupling factor transport system ATP-binding protein[K16787],ABC transporters[map02010],-,-,-,-
cluster_129,core,J,"IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins",-,translation initiation factor IF-3[K02520],-,-,-,-,-
cluster_130,dispensable,S,CsbD-like,-,-,-,-,-,-,-
cluster_131,core,L,Belongs to the UPF0102 family,-,putative endonuclease[K07460],-,-,-,-,-
cluster_132,core,O,Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group,Heme o synthase[2.5.1.141],heme o synthase[K02257],Oxidative phosphorylation[map00190]; Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],"Heme + H2O + trans,trans-Farnesyl diphosphate <=> Heme O + Diphosphate[R07411]",-,-,-
cluster_133,core,L,Belongs to the FPG family,DNA-formamidopyrimidine glycosylase[3.2.2.23]; DNA-(apurinic or apyrimidinic site) lyase[4.2.99.18],endonuclease VIII[K05522]; formamidopyrimidine-DNA glycosylase[K10563],Base excision repair[map03410],-,-,-,-
cluster_134,core,S,Protein of unknown function (DUF3039),-,-,-,-,-,-,-
cluster_135,core,H,Biotin/lipoate A/B protein ligase family,Pantothenate kinase[2.7.1.33]; Biotin--[biotin carboxyl-carrier protein] ligase[6.3.4.15],"biotin---[acetyl-CoA-carboxylase] ligase / type III pantothenate kinase[K01947]; BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase[K03524]",Pantothenate and CoA biosynthesis[map00770]; Biotin metabolism[map00780]; Metabolic pathways[map01100],ATP + Biotin <=> Diphosphate + Biotinyl-5'-AMP[R01074]; ATP + Pantetheine <=> ADP + Pantetheine 4'-phosphate[R02971]; ATP + Pantothenate <=> ADP + D-4'-Phosphopantothenate[R03018]; ATP + N-((R)-Pantothenoyl)-L-cysteine <=> ADP + (R)-4'-Phosphopantothenoyl-L-cysteine[R04391]; Biotinyl-5'-AMP + Apo-[carboxylase] <=> AMP + Holo-[carboxylase][R05145],-,-,-
cluster_136,core,S,Acyl-CoA carboxylase epsilon subunit,-,-,-,-,-,-,-
cluster_137,core,S,integral membrane protein,-,-,-,-,-,-,-
cluster_138,core,S,Membrane,-,uncharacterized protein[K07148],-,-,-,-,-
cluster_139,core,L,UvrD-like helicase C-terminal domain,DNA helicase[3.6.4.12],ATP-dependent DNA helicase UvrD/PcrA[K03657],Nucleotide excision repair[map03420]; Mismatch repair[map03430],-,-,-,-
cluster_140,core,I,Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein,Holo-[acyl-carrier-protein] synthase[2.7.8.7]; Beta-N-acetylhexosaminidase[3.2.1.52],holo-[acyl-carrier protein] synthase[K00997]; beta-N-acetylhexosaminidase[K01207],Amino sugar and nucleotide sugar metabolism[map00520]; Glycosaminoglycan degradation[map00531]; Pantothenate and CoA biosynthesis[map00770]; Metabolic pathways[map01100]; beta-Lactam resistance[map01501],"Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine[R00022]; CoA + Apo-[acyl-carrier-protein] <=> Adenosine 3',5'-bisphosphate + Acyl-carrier protein[R01625]; H2O + Globoside <=> N-Acetyl-D-galactosamine + Globotriaosylceramide[R05963]; G13074 + H2O <=> G01391 + N-Acetyl-D-glucosamine[R07809]; G13073 + H2O <=> G01391 + N-Acetyl-D-glucosamine 6-sulfate[R07810]; G00711 + H2O <=> G10008 + N-Acetyl-D-glucosamine[R10831]",-,-,-
cluster_141,core,L,Endonuclease/Exonuclease/phosphatase family,Exodeoxyribonuclease III[3.1.11.2],exodeoxyribonuclease III[K01142],Base excision repair[map03410],-,-,-,-
cluster_142,core,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain",NADH:ubiquinone reductase (H(+)-translocating)[1.6.5.3],NADH-quinone oxidoreductase subunit A[K00330],Oxidative phosphorylation[map00190]; Metabolic pathways[map01100],Ubiquinone + NADH + 6 H+ <=> Ubiquinol + NAD+ + 5 H+[R11945],-,-,-
cluster_143,dispensable,G,Dihydroxyacetone kinase,Phosphoenolpyruvate--glycerone phosphotransferase[2.7.1.121]; Triokinase[2.7.1.28]; Glycerone kinase[2.7.1.29]; FAD-AMP lyase (cyclizing)[4.6.1.15],triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing)[K00863]; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK[K05878],Fructose and mannose metabolism[map00051]; Glycerolipid metabolism[map00561]; Methane metabolism[map00680]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200],ATP + Glycerone <=> ADP + Glycerone phosphate[R01011]; Phosphoenolpyruvate + Glycerone <=> Pyruvate + Glycerone phosphate[R01012]; ATP + D-Glyceraldehyde <=> ADP + D-Glyceraldehyde 3-phosphate[R01059],-,-,-
cluster_144,dispensable,O,prohibitin homologues,-,-,-,-,-,-,-
cluster_145,core,-,-,-,-,-,-,-,-,-
cluster_146,core,E,spermidine synthase,Spermidine synthase[2.5.1.16],spermidine synthase[K00797],Cysteine and methionine metabolism[map00270]; Arginine and proline metabolism[map00330]; beta-Alanine metabolism[map00410]; Glutathione metabolism[map00480]; Metabolic pathways[map01100],S-Adenosylmethioninamine + Putrescine <=> 5'-Methylthioadenosine + Spermidine[R01920]; S-Adenosylmethioninamine + Spermidine <=> 5'-Methylthioadenosine + Spermine[R02869]; S-Adenosylmethioninamine + Cadaverine <=> 5'-Methylthioadenosine + Aminopropylcadaverine[R08359],-,-,-
cluster_147,core,S,FMN binding,-,-,-,-,-,-,-
cluster_148,dispensable,G,Polysaccharide deacetylase,Peptidoglycan-N-acetylglucosamine deacetylase[3.5.1.104],peptidoglycan-N-acetylglucosamine deacetylase[K22278],-,-,-,-,-
cluster_149,core,-,-,-,-,-,-,-,-,-
cluster_150,core,G,Part of the ABC transporter complex RbsABC involved in ribose import. Responsible for energy coupling to the transport system,ABC-type D-allose transporter[3.6.3.17],simple sugar transport system ATP-binding protein[K02056]; ribose transport system ATP-binding protein[K10441]; rhamnose transport system ATP-binding protein[K10562],ABC transporters[map02010],-,-,-,-
cluster_151,core,G,phosphoenolpyruvate-dependent sugar phosphotransferase system,"Protein-N(pi)-phosphohistidine--N,N'-diacetylchitobiose phosphotransferase[2.7.1.196]; Protein-N(pi)-phosphohistidine--D-cellobiose phosphotransferase[2.7.1.205]",cellobiose PTS system EIIA component[K02759],Starch and sucrose metabolism[map00500]; Phosphotransferase system (PTS)[map02060],"Protein N(pi)-phospho-L-histidine + Chitobiose <=> Protein histidine + N,N'-Diacetylchitobiose 6'-phosphate[R11170]; Protein N(pi)-phospho-L-histidine + Cellobiose <=> Protein histidine + 6-Phospho-beta-D-glucosyl-(1,4)-D-glucose[R11172]",-,-,-
cluster_152,core,L,Belongs to the 'phage' integrase family. XerC subfamily,-,integrase/recombinase XerC[K03733]; integrase/recombinase XerD[K04763],-,-,-,-,-
cluster_153,dispensable,S,EamA-like transporter family,-,inner membrane transporter RhtA[K11939],-,-,-,-,-
cluster_154,core,S,Protein of unknown function (DUF501),"Exopolyphosphatase[3.6.1.11]; Guanosine-5'-triphosphate,3'-diphosphate diphosphatase[3.6.1.40]","exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase[K01524]; uncharacterized protein[K09009]",Purine metabolism[map00230],"Guanosine 3'-diphosphate 5'-triphosphate + H2O <=> Guanosine 3',5'-bis(diphosphate) + Orthophosphate[R03409]",-,-,-
cluster_155,core,-,-,-,-,-,-,-,-,-
cluster_156,core,C,alcohol dehydrogenase,NADPH:quinone reductase[1.6.5.5],NADPH:quinone reductase[K00344],-,-,-,-,-
cluster_157,core,P,ATP-binding protein,ABC-type ferric hydroxamate transporter[3.6.3.34],iron complex transport system ATP-binding protein[K02013],ABC transporters[map02010],-,-,-,-
cluster_158,core,G,"PTS system, Lactose/Cellobiose specific IIB subunit",Protein-N(pi)-phosphohistidine--galactitol phosphotransferase[2.7.1.200],galactitol PTS system EIIB component[K02774],Galactose metabolism[map00052]; Metabolic pathways[map01100]; Phosphotransferase system (PTS)[map02060],Galactitol + Protein N(pi)-phospho-L-histidine <=> Galactitol 1-phosphate + Protein histidine[R05570],-,-,-
cluster_159,core,S,Major facilitator Superfamily,dTMP kinase[2.7.4.9],"dTMP kinase[K00943]; MFS transporter, DHA3 family, macrolide efflux protein[K08217]",Pyrimidine metabolism[map00240]; Metabolic pathways[map01100],ATP + dTMP <=> ADP + dTDP[R02094]; ATP + dUMP <=> ADP + dUDP[R02098],-,-,-
cluster_160,core,S,YhgE Pip domain protein,-,putative membrane protein[K01421],-,-,-,-,-
cluster_161,core,P,FecCD transport family,-,iron complex transport system permease protein[K02015],ABC transporters[map02010],-,-,-,-
cluster_162,core,P,"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit binds and transports the potassium across the cytoplasmic membrane",P-type K(+) transporter[3.6.3.12],potassium-transporting ATPase potassium-binding subunit[K01546]; potassium-transporting ATPase ATP-binding subunit[K01547],Two-component system[map02020],-,-,-,-
cluster_163,core,P,"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system",P-type K(+) transporter[3.6.3.12],potassium-transporting ATPase ATP-binding subunit[K01547],Two-component system[map02020],-,-,-,-
cluster_164,core,-,-,-,-,-,-,-,-,-
cluster_165,core,-,-,-,-,-,-,-,-,-
cluster_166,core,S,Thiamine-binding protein,-,-,-,-,-,-,-
cluster_167,core,V,ABC transporter transmembrane region,-,"ATP-binding cassette, subfamily C, bacterial[K06148]; ATP-binding cassette, subfamily C, bacterial CydC[K16012]; ATP-binding cassette, subfamily C, bacterial CydCD[K16014]",ABC transporters[map02010],-,-,-,-
cluster_168,dispensable,E,Amino acid permease,-,glutamate:GABA antiporter[K20265],Quorum sensing[map02024],-,-,-,-
cluster_169,core,S,Bacterial protein of unknown function (DUF881),-,-,-,-,-,-,-
cluster_170,core,J,hydrolases of the HAD superfamily,-,-,-,-,-,-,-
cluster_171,core,J,"YjgF/chorismate_mutase-like, putative endoribonuclease",-,-,-,-,-,-,-
cluster_172,core,K,"helix_turn_helix, cAMP Regulatory protein",-,"CRP/FNR family transcriptional regulator, cyclic AMP receptor protein[K10914]",Two-component system[map02020]; Quorum sensing[map02024]; Biofilm formation - Pseudomonas aeruginosa[map02025]; Biofilm formation - Escherichia coli[map02026]; Biofilm formation - Vibrio cholerae[map05111],-,-,-,-
cluster_173,core,T,"phosphohistidine phosphatase, SixA",8-oxo-dGTP diphosphatase[3.6.1.55],8-oxo-dGTP diphosphatase[K03574]; phosphohistidine phosphatase[K08296],-,-,-,-,-
cluster_174,core,L,Belongs to the N(4) N(6)-methyltransferase family,Site-specific DNA-methyltransferase (cytosine-N(4)-specific)[2.1.1.113],site-specific DNA-methyltransferase (cytosine-N4-specific)[K00590],-,-,-,-,-
cluster_175,core,S,Belongs to the UPF0271 (lamB) family,-,5-oxoprolinase (ATP-hydrolysing) subunit A[K07160],-,-,-,-,-
